level	step	message
PASS	python_dependency_check	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/python_dependency_check.log child_run_dir=N/A seconds=0
PASS	static_python_syntax_check	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/static_python_syntax_check.log child_run_dir=N/A seconds=0
PASS	p7_ops_snapshot	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/p7_ops_snapshot.log child_run_dir=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p7_ops_snapshot_20260607_054201 seconds=23
PASS	start_base_services	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/start_base_services.log child_run_dir=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/start_base_services_20260607_054224 seconds=44
PASS	reclaim_memory_before_feature_builder	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/reclaim_memory_before_feature_builder.log child_run_dir=N/A seconds=26
PASS	p10_warehouse_feature_builder	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/p10_warehouse_feature_builder.log child_run_dir=N/A seconds=65
PASS	p10_feature_parity_status	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/p10_feature_parity_status.log child_run_dir=N/A seconds=0
PASS	p10_warehouse_feature_quality	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/p10_warehouse_feature_quality.log child_run_dir=N/A seconds=1
PASS	p10_feature_quality_status	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/p10_feature_quality_status.log child_run_dir=N/A seconds=0
PASS	reclaim_memory_before_model	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/reclaim_memory_before_model.log child_run_dir=N/A seconds=12
PASS	p10_warehouse_model_baseline	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/p10_warehouse_model_baseline.log child_run_dir=N/A seconds=108
PASS	p10_model_output_status	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/p10_model_output_status.log child_run_dir=N/A seconds=0
PASS	hive_p9_window_dashboard_sql	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/hive_p9_window_dashboard_sql.log child_run_dir=N/A seconds=46
PASS	hive_p9_sensor_dashboard_sql	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/hive_p9_sensor_dashboard_sql.log child_run_dir=N/A seconds=20
PASS	ensure_realtime_services_ready	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/ensure_realtime_services_ready.log child_run_dir=N/A seconds=123
PASS	p6_realtime_demo_with_p11_risk	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/p6_realtime_demo_with_p11_risk.log child_run_dir=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p6_realtime_demo_20260607_054949 seconds=618
PASS	p12_trino_doris_query_layer	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/p12_trino_doris_query_layer.log child_run_dir=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260607_060006 seconds=383
PASS	p14_validation_report	report=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260607_054200/validation_report.md
